[2023-05-03 05:32:21,805] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration int -> org.hibernate.type.IntegerType@3401a114
[2023-05-03 05:32:21,806] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3401a114
[2023-05-03 05:32:21,807] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration long -> org.hibernate.type.LongType@6bb2d00b
[2023-05-03 05:32:21,807] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration long -> org.hibernate.type.LongType@6bb2d00b
[2023-05-03 05:32:21,808] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.Long -> org.hibernate.type.LongType@6bb2d00b
[2023-05-03 05:32:21,809] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration float -> org.hibernate.type.FloatType@3bd418e4
[2023-05-03 05:32:21,809] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration float -> org.hibernate.type.FloatType@3bd418e4
[2023-05-03 05:32:21,809] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3bd418e4
[2023-05-03 05:32:21,811] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration double -> org.hibernate.type.DoubleType@2e554a3b
[2023-05-03 05:32:21,811] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration double -> org.hibernate.type.DoubleType@2e554a3b
[2023-05-03 05:32:21,811] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2e554a3b
[2023-05-03 05:32:21,812] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5ddea849
[2023-05-03 05:32:21,812] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5ddea849
[2023-05-03 05:32:21,813] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration big_integer -> org.hibernate.type.BigIntegerType@37ddb69a
[2023-05-03 05:32:21,813] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@37ddb69a
[2023-05-03 05:32:21,814] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration string -> org.hibernate.type.StringType@235a0c16
[2023-05-03 05:32:21,815] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.String -> org.hibernate.type.StringType@235a0c16
[2023-05-03 05:32:21,815] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6b7906b3
[2023-05-03 05:32:21,816] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@68044f4
[2023-05-03 05:32:21,817] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration url -> org.hibernate.type.UrlType@5c10f1c3
[2023-05-03 05:32:21,817] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.net.URL -> org.hibernate.type.UrlType@5c10f1c3
[2023-05-03 05:32:21,818] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration Duration -> org.hibernate.type.DurationType@3a0d172f
[2023-05-03 05:32:21,818] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3a0d172f
[2023-05-03 05:32:21,822] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration Instant -> org.hibernate.type.InstantType@74a6a609
[2023-05-03 05:32:21,823] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.Instant -> org.hibernate.type.InstantType@74a6a609
[2023-05-03 05:32:21,824] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1a45193b
[2023-05-03 05:32:21,824] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1a45193b
[2023-05-03 05:32:21,825] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration LocalDate -> org.hibernate.type.LocalDateType@c5ee75e
[2023-05-03 05:32:21,826] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@c5ee75e
[2023-05-03 05:32:21,827] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@435fb7b5
[2023-05-03 05:32:21,827] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@435fb7b5
[2023-05-03 05:32:21,828] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47a86fbb
[2023-05-03 05:32:21,829] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47a86fbb
[2023-05-03 05:32:21,830] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@32c8e539
[2023-05-03 05:32:21,830] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@32c8e539
[2023-05-03 05:32:21,832] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@2eced48b
[2023-05-03 05:32:21,833] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@2eced48b
[2023-05-03 05:32:21,834] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration date -> org.hibernate.type.DateType@784b990c
[2023-05-03 05:32:21,835] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.sql.Date -> org.hibernate.type.DateType@784b990c
[2023-05-03 05:32:21,836] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration time -> org.hibernate.type.TimeType@43aaf813
[2023-05-03 05:32:21,836] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.sql.Time -> org.hibernate.type.TimeType@43aaf813
[2023-05-03 05:32:21,837] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration timestamp -> org.hibernate.type.TimestampType@18cebaa5
[2023-05-03 05:32:21,838] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@18cebaa5
[2023-05-03 05:32:21,838] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.Date -> org.hibernate.type.TimestampType@18cebaa5
[2023-05-03 05:32:21,839] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@f001896
[2023-05-03 05:32:21,840] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration calendar -> org.hibernate.type.CalendarType@7ec3394b
[2023-05-03 05:32:21,841] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@7ec3394b
[2023-05-03 05:32:21,841] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@7ec3394b
[2023-05-03 05:32:21,841] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@246f8b8b
[2023-05-03 05:32:21,842] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@625abb97
[2023-05-03 05:32:21,843] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration locale -> org.hibernate.type.LocaleType@72ea6193
[2023-05-03 05:32:21,844] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@72ea6193
[2023-05-03 05:32:21,845] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration currency -> org.hibernate.type.CurrencyType@66b7550d
[2023-05-03 05:32:21,845] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@66b7550d
[2023-05-03 05:32:21,847] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration timezone -> org.hibernate.type.TimeZoneType@3b2c0e88
[2023-05-03 05:32:21,847] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3b2c0e88
[2023-05-03 05:32:21,848] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration class -> org.hibernate.type.ClassType@4b3a45f1
